"","Reporting.Country","Total.confirmed","Total.confirmed.new.cases","Total.deaths","Total.new.deaths","Transmission.classification","Days.since.last.reported.case","ISO_3_CODE","temp_mean_14Mar20","temp_mean_14Mar20_pa","temp_mean_3mth","temp_mean_3mth_pa","humd_mean_14Mar20","humd_mean_14Mar20_pa","humd_mean_3mth","humd_mean_3mth_pa","temp_mean_14Mar20_paadj","temp_mean_3mth_paadj"
"174","Syrian Arab Republic",1,0,0,0,"Imported cases only",1,"SYR",13.3136022170918,13.4811585422838,9.08669179704992,8.90862380284901,81.7331789003923,79.8853735628715,68.0209467486723,68.0209467486723,13.4811585422838,8.90862380284901
"175","Thailand",827,106,4,3,"Local transmission",0,"THA",29.9338804114886,30.4484385435008,25.6522310218277,27.0298479337481,59.4892899744396,65.9165917417495,64.0844997466908,64.0844997466908,30.4484385435008,27.0298479337481
"176","The United Kingdom",6654,967,335,54,"Local transmission",0,"GBR",6.63013251208904,7.67909297180957,5.42888822874615,6.11714930691293,87.2724311715165,87.0016673308189,84.7414528102141,84.7414528102141,7.67909297180957,6.11714930691293
"177","Timor-Leste",1,0,0,0,"Imported cases only",3,"TLS",25.6230950606497,25.3568027956153,25.2655811771051,24.9033655869042,80.2554899516859,80.1938341913436,85.9432638556316,85.9432638556316,25.3568027956153,24.9033655869042
"178","Togo ",18,2,0,0,"Imported cases only",0,"TGO",29.4670971679687,29.3190204935219,28.4294625662039,28.3509752805826,64.4857369995117,68.6545900861046,39.6253953809996,39.6253953809996,29.3190204935219,28.3509752805826
"179","Trinidad and Tobago",51,1,0,0,"Imported cases only",0,"TTO",25.6614440917969,25.7687783781459,25.2858268119193,25.3112212662591,76.3262954711914,74.5958830527891,79.0689942231049,79.0689942231049,25.7687783781459,25.3112212662591
"180","Tunisia",89,14,3,0,"Local transmission",0,"TUN",17.8562625822474,16.6360065169142,12.644374482337,12.9226285926738,44.6612462606586,61.6372555309399,56.8702854081282,56.8702854081282,16.6360065169142,12.9226285926738
"181","Turkey",1529,293,37,7,"Local transmission",0,"TUR",9.85171199600916,11.3953798244623,2.2413405565132,5.30531167349999,72.3235715392571,72.900607951739,71.4906157401914,71.4906157401914,11.3953798244623,5.30531167349999
"182","Turks and Caicos Islands",1,1,0,0,"Imported cases only",0,"TCA",24.2512381417411,24.2827755520165,24.4190693269825,24.4862827409384,79.3367189679827,79.4530671200158,76.3004233606994,76.3004233606994,24.2827755520165,24.4862827409384
"183","Uganda",9,8,0,0,"Imported cases only",0,"UGA",23.9438708108569,23.419982710638,24.0397955502936,23.3843078293412,71.8816798134456,74.2773838595987,63.7649370581334,63.7649370581334,23.419982710638,23.3843078293412
"184","Ukraine",84,37,3,0,"Local transmission",0,"UKR",4.84207277459613,5.16473177938373,2.07335473627221,2.17597289235941,61.653958818468,61.7122980824738,80.0196710861335,80.0196710861335,5.16473177938373,2.17597289235941
"185","United Arab Emirates",198,45,2,0,"Local transmission",0,"ARE",25.5483297760954,24.8611282950704,19.4033755825635,19.9459951171305,24.0905105748127,30.2438844378533,55.1077576706621,55.1077576706621,24.8611282950704,19.9459951171305
"186","United Republic of Tanzania",12,0,0,0,"Imported cases only",1,"TZA",23.5402024009011,24.1017389248525,23.0662706012933,23.5867220077481,80.5509202882841,79.2625328299819,81.2534681347723,81.2534681347723,24.1017389248525,23.5867220077481
"187","United States of America",42164,10591,471,69,"Local transmission",0,"USA",1.69322094458955,9.89992657270732,-3.54700127892219,6.54901299088858,69.4076303597847,62.813489996278,67.311763468465,67.311763468465,9.89992657270732,6.54901299088858
"188","United States Virgin Islands",17,11,0,0,"Imported cases only",0,"VIR",24.7414245605469,24.7414245605469,25.1138685071791,25.1138685071791,80.1820602416992,80.1820602416992,78.1491731179727,78.1491731179727,24.7414245605469,25.1138685071791
"189","Uruguay",162,27,0,0,"Imported cases only",0,"URY",25.4231705997453,23.9983385384899,23.0816055870377,22.8341600905836,71.9141160734407,77.6951854542719,66.3727936931157,66.3727936931157,23.9983385384899,22.8341600905836
"190","Uzbekistan",46,0,0,0,"Local transmission",1,"UZB",12.7092011550377,12.7319965282753,2.5060262020043,3.9866974689836,41.1469536875095,45.8320183083245,68.2745748885915,68.2745748885915,12.7319965282753,3.9866974689836
"191","Venezuela (Bolivarian Republic of)",70,0,0,0,"Local transmission",1,"VEN",26.7858839945578,25.593419121319,26.3563604966636,24.9867470108414,67.2499225846487,65.2203683634798,64.3840277801898,64.3840277801898,25.593419121319,24.9867470108414
"192","Viet Nam",123,10,0,0,"Local transmission",0,"VNM",23.5352367787634,24.649897496946,21.2176303102766,22.986364976564,75.8427563805937,74.3320869873382,78.5016585512521,78.5016585512521,24.649897496946,22.986364976564
